"Rk","Player","Nation","Pos","Squad","Comp","Age","Height","Weight","MP","Min","Goals","SoT%","G/Sh","ShoDist","PasTotCmp","PasTotAtt","Assists","PPA","CrsPA","SCA","GCA","GcaDrib","Press","DriAtt","DriSucc%","Fld","AerWon%"
6,"Dickson Abiama","NGA","FW","Greuther Fürth","Bundesliga",24,183,79,24,726,0,22.2,0,15.6,11.1,17.2,0.12,0.74,0,2.47,0.25,0,23.5,2.22,33.3,1.48,35.5
18,"Amine Adli","FRA","FWMF","Leverkusen","Bundesliga",22,174,60,25,1256,0.21,50,0.08,15.3,28,37.1,0.14,1.14,0.57,3.36,0.5,0,21.4,3.21,53.3,2.29,35.2
50,"Lucas Alario","ARG","FW","Leverkusen","Bundesliga",30,184,78,27,655,0.82,56.5,0.26,11.2,14.5,21.2,0,0.27,0,3.42,0.55,0.14,14,1.78,84.6,1.51,36.4
92,"Sebastian Andersson","SWE","FW","Köln","Bundesliga",31,190,86,26,1257,0.21,37.1,0.09,11.3,12,18.1,0.07,0.36,0.07,1.57,0.29,0,13.7,1.07,40,1.21,38.2
128,"Takuma Asano","JPN","FWMF","Bochum","Bundesliga",28,173,70,27,1608,0.17,34.4,0.09,17,14.7,21.1,0.22,0.73,0.34,2.4,0.28,0,20.8,2.29,48.8,1.68,27.4
149,"Taiwo Awoniyi","NGA","FW","Union Berlin","Bundesliga",25,185,84,31,2174,0.62,45.5,0.2,12.9,13.8,20,0.04,0.87,0.12,2.27,0.21,0.08,15.1,2.36,54.4,1.07,28.6
239,"Ihlas Bebou","TOG","FWDF","Hoffenheim","Bundesliga",28,184,78,28,2091,0.3,31.1,0.16,12,19.7,27.2,0.09,1.42,0.47,2.28,0.26,0.04,16.3,1.98,43.5,0.99,34.8
242,"Sheraldo Becker","SUR","FWMF","Union Berlin","Bundesliga",27,180,75,28,1758,0.21,48.6,0.11,20.4,19.7,31.3,0.31,2.21,1.54,3.79,0.51,0.1,15.8,2.41,57.4,1.59,15
248,"Kevin Behrens","GER","FW","Union Berlin","Bundesliga",31,184,80,24,499,0.36,43.8,0.13,11.1,23.1,33.5,0.36,0.91,0,3.45,0.55,0,21.3,1.45,25,0.91,52.5
251,"Ishak Belfodil","ALG","FW","Hertha BSC","Bundesliga",30,192,86,26,1636,0.27,50,0.12,12.5,18.2,25.9,0.11,0.66,0.05,2.36,0.27,0.05,11.3,2.14,48.7,0.66,45
256,"Karim Bellarabi","GER","FWDF","Leverkusen","Bundesliga",32,184,81,16,683,0.39,39.3,0.11,17.3,26.2,35.1,0.26,1.05,0.39,3.29,0.53,0,15.1,3.95,56.7,1.05,40
387,"Jacob Bruun Larsen","DEN","FWMF","Hoffenheim","Bundesliga",24,183,75,25,812,0.44,38.9,0.22,11.9,24.7,33,0,1.44,0.22,2.78,0,0,15.7,2.78,40,0.22,24.1
397,"Jonathan Burkardt","GER","FWMF","Mainz 05","Bundesliga",22,181,76,34,2611,0.38,42.9,0.13,14.1,14.6,20.8,0.1,0.76,0.1,2.28,0.21,0.03,15.8,2.79,44.4,1.79,24.3
556,"Kingsley Coman","FRA","FWDF","Bayern Munich","Bundesliga",26,179,75,21,1359,0.4,43.5,0.13,16.9,37.2,47.4,0.13,2.72,1.26,3.38,0.26,0,13.4,4.7,57.7,1.59,36.7
621,"Moanes Dabbur","ISR","FWMF","Hoffenheim","Bundesliga",30,182,76,27,1310,0.21,27.3,0.09,12,24.7,33,0.27,0.75,0.21,2.33,0.48,0,18.8,2.81,51.2,1.64,28.1
674,"Ermedin Demirović","BIH","FWMF","Freiburg","Bundesliga",24,185,80,31,871,0.21,34.6,0.08,12.7,11.6,18,0.31,0.41,0.21,1.86,0.62,0,23.9,2.27,45.5,0.82,27
696,"Moussa Diaby","FRA","FWMF","Leverkusen","Bundesliga",23,170,67,32,2760,0.42,50.9,0.25,16.6,24.7,33.1,0.39,1.99,0.59,3.36,0.52,0,11.2,3.97,41,0.98,26.3
821,"Breel Embolo","SUI","FWMF","M'Gladbach","Bundesliga",25,187,88,29,2166,0.37,47.9,0.19,13.5,17.8,24.4,0.12,1,0.08,3.28,0.37,0,16.3,3.36,44.4,3.44,31.9
915,"Philipp Förster","GER","FWMF","Stuttgart","Bundesliga",27,188,84,20,967,0.19,24.1,0.07,17.4,34.9,40.1,0.09,1.31,0.28,2.34,0.19,0,21.5,1.87,50,0.93,40.7
990,"Hamadi Al Ghaddioui","MAR","FW","Stuttgart","Bundesliga",32,193,90,10,498,0.36,33.3,0.17,11.3,13.3,19.8,0.36,0.36,0,1.82,0.55,0,18.9,0.73,0,1.27,46.9
1013,"Serge Gnabry","GER","FWDF","Bayern Munich","Bundesliga",27,175,75,34,2185,0.58,38.2,0.21,16.1,44,55.7,0.21,2.8,0.62,4.36,0.66,0.08,16.5,4.16,64.4,0.99,15
1064,"Michael Gregoritsch","AUT","FWMF","Augsburg","Bundesliga",28,193,87,25,1392,0.58,39,0.2,15.8,16.5,27,0,0.45,0.19,0.9,0.06,0,21.9,1.61,28,1.1,64.2
1118,"Erling Haaland","NOR","FW","Dortmund","Bundesliga",22,194,88,24,1911,1.04,41.9,0.22,13.5,16,22.3,0.38,0.94,0,2.59,0.66,0.09,12.8,0.99,52.4,0.8,54.9
1122,"Robin Hack","GER","FWMF","Arminia","Bundesliga",24,176,68,30,1364,0,19.4,0,20.8,23.5,32.4,0.2,1.45,0.33,2.43,0.2,0,19.1,3.88,49.2,1.71,22.5
1191,"Lucas Höler","GER","FWMF","Freiburg","Bundesliga",28,184,83,34,2583,0.24,42.6,0.11,13.9,21.9,31.5,0.07,1.01,0.07,2.96,0.35,0.03,18.3,1.6,37,2.37,54.5
1193,"Gerrit Holtmann","PHI","FWMF","Bochum","Bundesliga",27,185,77,29,1840,0.25,42.6,0.11,20.3,12.1,17.9,0.2,1.32,0.69,2.94,0.44,0.1,15.1,4.46,50.5,0.78,16.3
1204,"Branimir Hrgota","SWE","FW","Greuther Fürth","Bundesliga",29,185,76,34,2777,0.29,33.3,0.07,19.8,17.3,24.2,0.16,0.81,0.16,2.3,0.26,0,22.8,3.11,47.9,2.39,20.2
1251,"Cedric Itten","SUI","FW","Greuther Fürth","Bundesliga",26,189,81,12,635,0.28,56.3,0.13,13.9,12.7,21.3,0,0.14,0,1.13,0,0,21,0.99,42.9,1.13,34.3
1304,"Stevan Jovetić","MNE","FW","Hertha BSC","Bundesliga",33,183,79,18,1017,0.53,35.6,0.13,18,23.4,33.4,0.09,1.59,0.27,3.27,0.27,0,11.2,2.57,37.9,1.77,48
1326,"Sasa Kalajdzic","AUT","FW","Stuttgart","Bundesliga",25,200,83,15,1221,0.44,36.1,0.14,12.5,19.6,28.1,0.07,0.51,0.07,2.5,0.22,0,17.9,1.03,42.9,1.47,59
1388,"Mateo Klimowicz","GER","FWMF","Stuttgart","Bundesliga",22,179,71,15,603,0,27.3,0,18.8,21.8,29.3,0.15,1.49,0,2.24,0.15,0,18.4,3.28,36.4,1.49,0
1389,"Fabian Klos","GER","FW","Arminia","Bundesliga",35,194,93,25,1420,0.19,37.8,0.03,15.9,15,28,0.06,0.51,0.13,1.52,0.06,0,16,0.95,66.7,1.01,51.7
1432,"Andrej Kramarić","CRO","FWMF","Hoffenheim","Bundesliga",31,177,73,32,2707,0.2,37.6,0.06,15.3,27.2,35.1,0.3,1.36,0.33,2.79,0.37,0,10.7,1.53,52.2,1.06,37.7
1437,"Florian Krüger","GER","FWMF","Arminia","Bundesliga",23,186,81,27,1129,0.08,27.8,0.06,18.1,17,24.8,0.16,1.28,0.4,1.68,0.16,0,14.6,1.76,31.8,0.96,37.8
1440,"Max Kruse","GER","FWMF","Wolfsburg","Bundesliga",34,180,76,14,1128,0.56,47.4,0.26,17.1,29.3,39.8,0.08,1.2,0.4,2.08,0.24,0,13.8,0.96,75,0.96,35.1
1469,"Sam Lammers","NED","FW","Eint Frankfurt","Bundesliga",25,191,77,15,517,0.18,33.3,0.08,12.5,15.6,23.7,0,0.53,0,1.23,0,0,21.8,2.81,37.5,0.53,56
1478,"Bryan Lasme","FRA","FW","Arminia","Bundesliga",24,188,85,23,877,0.21,50,0.14,14.5,12.6,20.3,0,0.93,0.41,1.96,0,0,20.5,2.78,37,1.03,48.7
1513,"Robert Lewandowski","POL","FW","Bayern Munich","Bundesliga",34,184,80,34,2946,1.07,49,0.19,12.6,18,23.5,0.09,0.95,0.09,3.18,0.46,0.03,9.79,1.99,52.3,1.35,49
1514,"Jamie Leweling","GER","FWDF","Greuther Fürth","Bundesliga",21,184,86,33,1959,0.23,35.6,0.11,17.3,12.8,19.4,0.05,0.5,0.14,1.83,0.09,0,17.6,3.67,52.5,2.39,20.7
1526,"Jesper Lindstrøm","DEN","FWMF","Eint Frankfurt","Bundesliga",22,181,63,29,1976,0.23,32.7,0.09,17.2,19.2,27.6,0.18,0.82,0.23,3.41,0.18,0,22.7,3.27,45.8,0.68,16.4
1540,"Jürgen Locadia","NED","FWMF","Bochum","Bundesliga",29,185,87,11,444,0.41,41.2,0.06,19.1,19.8,25.1,0.2,0.41,0.2,4.08,0.82,0,22,0.82,50,1.84,30.8
1624,"Donyell Malen","NED","FW","Dortmund","Bundesliga",23,179,78,27,1684,0.27,44.7,0.11,16.5,21.4,28.9,0.16,0.96,0.27,2.83,0.64,0,12.5,2.03,44.7,2.03,24.3
1671,"Omar Marmoush","EGY","FWMF","Stuttgart","Bundesliga",23,177,68,21,1571,0.17,26.5,0.06,18.8,19,26,0.29,0.46,0.17,4.17,0.63,0.06,20.3,5.77,41.6,3.6,42.9
1815,"Anthony Modeste","FRA","FW","Köln","Bundesliga",34,187,84,32,2606,0.69,40.2,0.18,11.5,10.1,15.3,0.14,0.24,0.07,1.34,0.17,0.03,12.7,0.69,45,1.31,55.6
1935,"Florian Niederlechner","GER","FW","Augsburg","Bundesliga",32,187,86,26,1165,0.39,42.9,0.18,11.8,12.6,17.4,0.23,0.47,0.16,2.25,0.47,0,14.7,1.78,39.1,1.94,39.5
1945,"Christopher Nkunku","FRA","FWMF","RB Leipzig","Bundesliga",25,179,72,34,2723,0.66,48.8,0.24,15.7,27.8,34.7,0.43,1.91,0.26,4.42,0.92,0.1,17.9,3.33,59.4,2.21,43.8
1946,"Lukas Nmecha","GER","FWMF","Wolfsburg","Bundesliga",24,185,80,25,1627,0.44,38.9,0.15,12.5,15.3,22.5,0,0.88,0.11,2.27,0.33,0,18.9,2.49,55.6,1.88,42.5
1995,"Karim Onisiwo","AUT","FW","Mainz 05","Bundesliga",30,188,85,31,2361,0.19,29.2,0.08,13.4,13.6,21.9,0.31,0.73,0.23,3.28,0.5,0.04,20.3,4.08,42.1,1.3,36.2
2025,"Gonçalo Paciência","POR","FW","Eint Frankfurt","Bundesliga",28,184,79,18,516,0.53,29.6,0.07,18.5,17.5,27.7,0,0.53,0,1.75,0.18,0,14,1.93,81.8,2.46,38.1
2082,"Ricardo Pepi","USA","FWMF","Augsburg","Bundesliga",19,185,77,11,477,0,50,0,12.6,13,20.4,0,0.57,0.19,1.51,0,0,26.2,0.94,80,0.94,30.3
2111,"Nils Petersen","GER","FWMF","Freiburg","Bundesliga",34,188,80,22,580,0.78,33.3,0.33,13.5,14.8,22.2,0.16,0.63,0.16,2.03,0.16,0,24.2,1.09,71.4,0.63,30.6
2115,"Jens Petter Hauge","NOR","FWMF","Eint Frankfurt","Bundesliga",23,184,75,26,1040,0.17,52.6,0.11,15,27.1,37.7,0.17,1.03,0.17,2.84,0.34,0,20.3,4.57,52.8,0.95,36.8
2154,"Sebastian Polter","GER","FW","Bochum","Bundesliga",31,192,94,33,2341,0.38,38.9,0.17,11.3,11.3,19.9,0.04,0.27,0.04,2.15,0.12,0,16.9,0.58,60,1.42,49.8
2163,"Yussuf Poulsen","DEN","FW","RB Leipzig","Bundesliga",28,192,84,25,1079,0.5,50,0.21,12.4,19.1,27.8,0,0.83,0.08,2.42,0.5,0,24.2,2.25,44.4,2.83,43.8
2258,"Marco Richter","GER","FWMF","Hertha BSC","Bundesliga",25,176,74,30,1704,0.26,39.5,0.12,19.5,18.6,28,0.05,0.95,0.21,2.28,0.16,0,16.8,2.33,34.1,2.65,22
2339,"Georginio Rutter","FRA","FWMF","Hoffenheim","Bundesliga",20,182,77,33,1611,0.45,35.2,0.15,13.7,11.8,18.4,0.11,0.89,0.22,2.18,0.34,0.11,22.9,3.85,42,2.29,45.2
2389,"Leroy Sané","GER","FWMF","Bayern Munich","Bundesliga",26,184,75,32,1976,0.32,36,0.08,19.9,38.7,46.3,0.32,2,0.18,4.5,0.55,0,16.7,4.73,49,1.45,33.3
2426,"Patrik Schick","CZE","FW","Leverkusen","Bundesliga",26,186,73,27,2076,1.04,47.7,0.26,12.6,12.6,17.7,0.13,0.43,0,2.12,0.69,0.13,11.1,1.77,43.9,1.13,42.7
2447,"Davie Selke","GER","FW","Hertha BSC","Bundesliga",27,194,84,25,1004,0.36,39.1,0.13,12.8,12.5,21,0,0.36,0.18,1.61,0.09,0,20.7,0.71,62.5,1.88,56.1
2458,"Janni Serra","GER","FW","Arminia","Bundesliga",24,193,87,26,1117,0.24,41.7,0.13,13.1,15.9,23.7,0.16,0.56,0,1.85,0.24,0.08,21.7,1.61,35,1.21,38.3
2482,"André Silva","POR","FW","RB Leipzig","Bundesliga",27,184,78,33,2076,0.48,42.6,0.15,11.1,18,24.2,0.13,1.08,0.13,2.03,0.65,0.04,13.3,2.55,33.9,1.47,37.8
2560,"Renato Steffen","SUI","FWMF","Wolfsburg","Bundesliga",31,170,65,20,967,0,15.4,0,14.3,30.9,40.2,0.09,0.93,0.37,3.27,0.28,0,16.8,1.12,58.3,1.68,39.5
2651,"Marcus Thuram","FRA","FWMF","M'Gladbach","Bundesliga",25,192,87,21,979,0.28,30.3,0.09,12.8,16.1,21.8,0,1.19,0.18,3.03,0.28,0,15.9,3.67,52.5,2.39,43.5
2668,"Tiago Tomás","POR","FW","Stuttgart","Bundesliga",20,180,73,14,1075,0.34,53.6,0.14,14.7,11.7,18.2,0,0.34,0.08,1.85,0.17,0,18.9,3.28,33.3,2.52,23.8
2804,"Andreas Voglsammer","GER","FWMF","Union Berlin","Bundesliga",30,178,81,32,882,0.2,44.1,0.06,13.4,15.5,25.1,0.1,0.92,0.2,2.04,0.31,0.1,19.2,1.53,66.7,1.63,40.9
2847,"Patrick Wimmer","AUT","FWMF","Arminia","Bundesliga",21,182,77,31,2052,0.13,26.3,0.05,19.3,18.6,33,0.26,0.92,0.18,3.51,0.44,0,23.4,6.23,52.8,1.67,38.4
2848,"Jonas Wind","DEN","FWMF","Wolfsburg","Bundesliga",23,190,82,14,1180,0.38,45.7,0.14,13.6,19,27.9,0.08,0.92,0.08,2.6,0.23,0,16.3,1.15,66.7,2.6,51.9
2901,"Andi Zeqiri","SUI","FWMF","Augsburg","Bundesliga",23,185,80,22,1016,0.18,28.1,0.06,16.3,10.3,15.8,0.09,0.35,0.18,1.77,0.27,0,21,2.39,37,1.42,26.1
2911,"Simon Zoller","GER","FW","Bochum","Bundesliga",31,179,70,10,596,0.45,63.6,0.27,11.1,18.2,23.8,0.3,0.61,0.45,1.36,0.3,0,17.1,0.61,50,0.76,44.4
