"Rk","Player","Nation","Pos","Squad","Comp","Age","Height","Weight","MP","Min","Goals","SoT%","G/Sh","ShoDist","PasTotCmp","PasTotAtt","Assists","PPA","CrsPA","SCA","GCA","GcaDrib","Press","DriAtt","DriSucc%","Fld","AerWon%"
56,"Paco Alcácer","ESP","FW","Villarreal","La Liga",29,175,72,18,787,0.11,42.1,0.05,13,14.3,19.7,0.34,0.57,0.11,1.49,0.69,0.11,12.9,0.8,57.1,0.8,40
81,"Amath NA","SEN","FWMF","Mallorca","La Liga",26,188,86,19,884,0,36.4,0,17,16.9,21.5,0.1,0.51,0.1,1.84,0.2,0,21.1,3.06,53.3,2.14,15
132,"Marco Asensio","ESP","FWMF","Real Madrid","La Liga",26,182,76,31,1731,0.52,48.4,0.16,18.6,38.5,47.1,0,1.04,0.16,3.39,0.36,0.05,9.58,2.03,51.3,1.35,10
137,"Iago Aspas","ESP","FW","Celta Vigo","La Liga",35,176,67,37,3087,0.5,44,0.17,15.9,28.5,39.6,0.15,1.22,0.29,3.29,0.44,0.03,12,1.78,59,1.87,36.1
141,"Pierre-Emerick Aubameyang","GAB","FW","Barcelona","La Liga",33,187,80,17,1082,0.92,52.6,0.29,11.3,15.4,20.3,0.08,0.67,0,1.25,0.17,0,16.3,0.67,75,0.58,36
148,"Ezequiel Ávila","ARG","FWMF","Osasuna","La Liga",28,172,81,36,1870,0.29,25,0.08,24.5,14.8,26.2,0.05,1.15,0.82,1.78,0.29,0,12.9,1.49,38.7,1.88,38.2
158,"Carlos Bacca","COL","FW","Granada","La Liga",36,181,77,17,513,0,22.2,0,14.4,12.5,19.1,0.18,0.7,0,2.28,0.35,0,10.7,1.75,80,1.58,38.7
214,"Ander Barrenetxea","ESP","FWMF","Real Sociedad","La Liga",21,175,74,11,547,0.16,25,0.13,16.2,22.3,30.7,0.16,1.31,0.16,2.62,0.49,0.16,21.3,5.74,48.6,3.28,36.4
285,"Karim Benzema","FRA","FW","Real Madrid","La Liga",35,185,81,32,2593,0.94,39.8,0.17,15.5,36.7,43.4,0.42,2.92,0.14,4.31,0.73,0.14,9.06,1.7,71.4,0.42,30
361,"Lucas Boyé","ARG","FW","Elche","La Liga",26,183,79,24,1713,0.37,30.6,0.14,15.5,17.2,23.5,0.16,0.53,0,2.21,0.47,0.16,17.2,4.05,57.1,2.79,24
390,"Ante Budimir","CRO","FW","Osasuna","La Liga",31,190,75,28,1738,0.41,40.9,0.14,11.5,11.7,18.8,0.1,0.21,0.05,1.61,0.21,0,20.9,1.4,33.3,1.76,49.8
449,"Sergio Canales","ESP","FWMF","Betis","La Liga",31,175,72,34,2791,0.16,41.8,0.09,20.1,50,60.2,0.26,2,0.16,3.77,0.42,0.03,10.3,1.65,54.9,1.58,26.2
455,"Álex Cantero","ESP","FWMF","Levante","La Liga",22,184,80,25,610,0,31.3,0,15.4,13.7,19.6,0.15,0.88,0.44,2.65,0.59,0,23.1,2.35,43.8,0.74,9.1
474,"Guido Carrillo","ARG","FW","Elche","La Liga",31,191,87,29,1168,0.15,41.7,0.08,9.7,17.2,24.5,0,0.38,0.08,1.62,0.08,0,17.7,1.15,66.7,2.31,49
574,"Jesús Corona","MEX","FWDF","Sevilla","La Liga",29,173,62,18,1157,0.16,33.3,0.17,12,36.9,47.4,0.31,1.24,0.47,2.95,0.47,0.08,10.2,2.95,47.4,2.25,44.4
575,"Ángel Correa","ARG","FWMF","Atlético Madrid","La Liga",27,171,70,36,1856,0.58,44,0.24,17.3,23.4,31.8,0.24,0.97,0.1,2.77,0.49,0,19.7,2.57,49.1,1.7,16.3
681,"Memphis Depay","NED","FW","Barcelona","La Liga",28,176,78,28,1851,0.58,51.8,0.14,18.7,35.2,46.8,0.1,1.46,0.49,3.69,0.53,0.1,10.3,3.25,50.7,2.67,42.9
695,"Boulaye Dia","SEN","FW","Villarreal","La Liga",26,180,75,25,1269,0.35,29.7,0.14,14.1,13.8,18.2,0.35,0.21,0,2.27,0.5,0.07,14.9,1.63,56.5,1.35,45.1
724,"Landry Dimata","BEL","FWMF","Espanyol","La Liga",25,184,83,17,541,0,0,0,10.9,11.8,16.5,0,0.33,0,2.67,0,0,15,1.33,50,4.17,36.7
792,"Hugo Duro","ESP","FWMF","Valencia","La Liga",23,180,76,30,1834,0.34,48.4,0.23,11.4,13.8,19.2,0.05,0.15,0,1.57,0.34,0.05,25.6,1.18,54.2,2.3,35.8
825,"Youssef En-Nesyri","MAR","FW","Sevilla","La Liga",25,188,78,23,1277,0.35,33.3,0.11,11.5,8.87,12.9,0.07,0.14,0,0.85,0.28,0.07,16.1,1.13,37.5,0.77,44.7
851,"Radamel Falcao","COL","FW","Rayo Vallecano","La Liga",36,186,88,22,838,0.65,45.5,0.18,12.7,14.3,18.7,0,0.22,0.11,1.51,0.32,0,15.9,0.65,50,1.94,43
873,"João Félix","POR","FWMF","Atlético Madrid","La Liga",23,181,70,24,1263,0.57,38.5,0.21,14.5,24.4,32.9,0.29,1.86,0.21,3.14,0.71,0.07,9.5,3.57,52,4.79,47.1
964,"Álvaro García","ESP","FW","Rayo Vallecano","La Liga",30,168,59,36,2998,0.21,35.8,0.1,16.4,19.4,31.1,0.12,1.47,0.78,2.58,0.21,0,13.4,1.35,44.4,0.96,22.2
1022,"Dani Gómez","ESP","FW","Levante","La Liga",24,178,69,28,1063,0.34,45.2,0.13,14.9,14,17.5,0.17,0.34,0.08,2.46,0.51,0,20,3.81,40,2.03,13.2
1074,"Arnaut Groeneveld","NED","FW","Villarreal","La Liga",25,187,74,23,1472,0.61,42.4,0.12,14.7,17.5,23.4,0.18,0.98,0.24,2.2,0.49,0.18,7.93,3.84,41.3,1.16,12.5
1079,"Sergi Guardiola","ESP","FW","Rayo Vallecano","La Liga",31,184,78,32,1710,0.42,33.3,0.15,14.4,15.9,22.9,0.11,0.68,0.11,1.79,0.32,0,21.7,1.05,35,1.74,34
1083,"Gonçalo Guedes","POR","FWMF","Valencia","La Liga",26,179,68,36,2606,0.38,35.8,0.15,21.3,20.1,30.5,0.21,1.66,0.48,3.21,0.48,0.07,11.8,3.59,51.9,3.03,29.8
1147,"Eden Hazard","BEL","FWMF","Real Madrid","La Liga",31,175,74,18,717,0,58.3,0,15.1,45.8,51.4,0.13,1.5,0,5.5,0.13,0,9.38,2.88,82.6,4.5,37.5
1225,"Borja Iglesias","ESP","FW","Betis","La Liga",29,187,86,33,1573,0.57,44.7,0.18,14.8,13.8,19.4,0,0.69,0.06,1.89,0.23,0,14.9,1.83,37.5,1.89,31.6
1246,"Alexander Isak","SWE","FW","Real Sociedad","La Liga",23,192,77,32,2140,0.25,45.1,0.06,15.4,13.9,19.1,0.08,0.88,0.08,2.52,0.21,0.04,10.9,3.87,45.7,1.43,36.9
1270,"Adnan Januzaj","BEL","FWMF","Real Sociedad","La Liga",27,186,76,33,1625,0.17,32.5,0.03,22.7,26.4,40.7,0,1.66,0.66,3.65,0.33,0.06,10.6,4.7,50.6,3.37,36.1
1275,"Luis Javier Suárez","COL","FW","Granada","La Liga",25,185,74,36,2782,0.26,31.4,0.09,16.7,14.5,21.9,0.13,0.78,0.29,2.07,0.23,0,14.7,2.3,49.3,1.29,30.4
1294,"Luuk de Jong","NED","FW","Barcelona","La Liga",32,188,86,21,654,0.82,34.6,0.23,9.9,19.3,26,0,0.27,0,0.68,0,0,13.8,0.96,57.1,2.05,62.1
1299,"Willian José","BRA","FW","Betis","La Liga",31,189,91,32,1604,0.51,25,0.19,18.5,23.2,29.9,0.22,0.45,0.06,2.42,0.34,0,12.6,1.01,44.4,1.29,32.3
1313,"Vinicius Júnior","BRA","FW","Real Madrid","La Liga",22,180,79,35,2690,0.57,51.9,0.21,15,36.5,43.4,0.33,2.24,0.27,5.69,0.84,0.1,18.4,7.53,44.9,2.74,17.4
1443,"Takefusa Kubo","JPN","FWMF","Mallorca","La Liga",21,173,67,28,1605,0.06,18.4,0.02,19.8,20.4,29,0,1.46,0.39,3.88,0.22,0,19,3.82,52.9,3.03,41.9
1467,"Érik Lamela","ARG","FW","Sevilla","La Liga",30,184,80,20,1015,0.44,54.5,0.23,15.7,36.2,42.4,0.18,1.24,0,3.1,0.35,0,20,2.48,46.4,1.24,34.6
1496,"Wu Lei","CHN","FWMF","Espanyol","La Liga",31,174,66,23,474,0.19,71.4,0.14,14.6,13.6,19.1,0,0.19,0,2.08,0,0,15.5,1.51,25,1.13,41.4
1569,"Anthony Lozano","HON","FWMF","Cádiz","La Liga",29,185,74,31,1672,0.38,40.8,0.14,14.3,10,16.3,0.11,0.32,0.16,1.94,0.48,0.05,13.5,2.63,51,2.26,39.5
1675,"Anthony Martial","FRA","FWMF","Sevilla","La Liga",27,184,76,9,490,0,42.9,0,21.4,23.7,29.1,0.19,0.74,0.19,0.56,0.19,0,15.6,3.33,38.9,2.22,18.2
1700,"Jaime Mata","ESP","FW","Getafe","La Liga",34,180,73,22,672,0.13,33.3,0.11,13.6,18,27.1,0,0.4,0,1.73,0,0,14.7,1.2,55.6,2.27,29.9
1726,"Jordi Mboula","ESP","FW","Mallorca","La Liga",23,183,74,11,434,0,0,0,13.2,10.8,18.8,0,0.21,0,1.46,0.21,0,16.7,2.92,64.3,1.88,46.2
1758,"Édgar Méndez","ESP","FWMF","Alavés","La Liga",32,187,76,32,1614,0.06,30.8,0.04,18.2,14.7,24.1,0.06,1.12,0.84,1.84,0.06,0,21.1,1.96,45.7,1.96,43
1797,"Pere Milla","ESP","FWMF","Elche","La Liga",30,184,72,32,1644,0.44,48.3,0.28,12.4,21.4,29.2,0.16,0.66,0.16,1.53,0.27,0.05,21.6,2.13,46.2,2.9,34.1
1800,"Santi Mina","ESP","FW","Celta Vigo","La Liga",27,181,77,33,2367,0.27,35.6,0.12,14.4,17.3,25.6,0.11,0.42,0,1.63,0.27,0,19.3,0.87,43.5,1.86,44.2
1805,"Rafa Mir","ESP","FW","Sevilla","La Liga",25,191,87,34,1808,0.5,36.1,0.16,12.3,12,17.5,0,0.35,0.05,1.54,0.25,0,14.1,1.24,56,1.04,50.7
1823,"Jorge Molina","ESP","FW","Granada","La Liga",40,188,72,35,1966,0.46,48.9,0.22,13.1,15.8,24.4,0.23,0.46,0.05,2.29,0.23,0,10.2,0.73,31.3,2.02,46.4
1841,"Gerard Moreno","ESP","FW","Villarreal","La Liga",30,180,77,17,1191,0.68,36.1,0.22,14.1,24.5,35.8,0.23,1.89,0.3,3.71,0.45,0,8.64,4.09,63,1.52,54.5
1942,"Fernando Niño","ESP","FW","Mallorca","La Liga",22,190,78,23,884,0.2,56.5,0.09,12.2,14.9,21.3,0,0.2,0,2.24,0,0,19.3,1.63,50,2.35,48.6
1957,"Randy Ntekja","FRA","FWMF","Rayo Vallecano","La Liga",25,182,68,34,1462,0.19,26.7,0.1,12.7,17.3,25.4,0,0.49,0,1.98,0.31,0.06,22.5,2.59,42.9,1.73,43.6
1971,"Lucas Ocampos","ARG","FW","Sevilla","La Liga",28,188,84,30,2125,0.25,31.4,0.12,16.5,28,36.5,0.17,0.64,0.21,1.95,0.3,0.13,16.9,3.81,45.6,1.95,48.4
2019,"Mikel Oyarzabal","ESP","FWMF","Real Sociedad","La Liga",25,181,79,22,1671,0.48,31.6,0.13,18,23.7,35.1,0.16,1.24,0.32,3.39,0.32,0,14.5,2.2,51.2,1.67,43.5
2032,"Isaac Palazón Camacho","ESP","FWMF","Rayo Vallecano","La Liga",28,185,79,34,2288,0.08,22,0.03,21,25.4,35.2,0.16,0.71,0.16,2.95,0.31,0.08,19,2.95,45.3,3.07,44.5
2097,"Kike Pérez","ESP","FWMF","Elche","La Liga",25,184,80,12,519,0.34,50,0.2,21.2,31.7,42.9,0,0.52,0,3.1,0,0,18.1,2.07,50,1.03,44.1
2155,"Ezequiel Ponce","ARG","FW","Elche","La Liga",25,181,81,13,667,0.14,33.3,0.07,12.8,16.5,22.4,0,0.54,0.14,2.3,0.14,0.14,17.3,2.97,50,1.76,41.5
2169,"Abdón Prats","ESP","FW","Mallorca","La Liga",30,181,81,23,641,0.42,36.8,0.16,14.8,14.5,22,0,0.42,0,2.54,0.14,0,10.8,1.83,61.5,2.39,49.3
2213,"Sandro Ramírez","ESP","FW","Getafe","La Liga",27,183,78,29,1462,0.19,28,0.06,22.5,17.7,24.3,0,0.31,0.06,3.27,0.12,0,15.5,3.46,33.9,2.96,30.4
2266,"Luis Rioja","ESP","FWMF","Alavés","La Liga",29,175,68,37,3111,0.03,34.1,0.02,17.6,16.2,26.9,0.09,0.9,0.32,2.37,0.2,0.03,12.5,3.61,52,1.24,36.8
2291,"Ángel Rodríguez","ESP","FW","Mallorca","La Liga",35,180,75,29,1544,0.17,37.9,0.1,12.1,11.5,15.9,0.12,0.7,0.12,1.8,0.35,0.06,17.9,1.57,51.9,1.63,24.6
2331,"Aitor Ruibal","ESP","FWDF","Betis","La Liga",26,176,75,19,856,0,15.8,0,18.9,27.6,35.8,0,1.26,0.21,3.16,0.11,0,20.8,3.68,42.9,2.11,18.5
2377,"Oihan Sancet","ESP","FW","Athletic Club","La Liga",22,176,71,27,1422,0.38,45.2,0.19,14.2,22.5,29.2,0.25,1.46,0.13,3.54,0.38,0.06,17.1,2.22,54.3,1.9,26.7
2524,"Rubén Sobrino","ESP","FWMF","Cádiz","La Liga",30,185,73,33,1861,0.19,29.4,0.12,12,18,24.3,0.05,0.29,0.14,2.27,0.24,0,21.9,2.27,46.8,1.88,38.8
2585,"Luis Suárez","URU","FW","Atlético Madrid","La Liga",35,182,83,35,1835,0.54,45.1,0.18,20,17.8,24.4,0.1,0.69,0.15,1.76,0.29,0,8.63,1.13,21.7,1.32,44.3
2603,"Alexander Sørloth","NOR","FW","Real Sociedad","La Liga",27,194,90,33,1763,0.2,32.4,0.11,11.6,17.2,23.7,0,0.71,0.1,2.09,0.2,0.1,17.7,2.86,50,0.97,54.2
2628,"Cristian Tello","ESP","FWMF","Betis","La Liga",31,178,65,23,819,0.22,31,0.07,20.3,30.8,39.9,0.22,1.1,0.44,3.63,0.22,0,19,2.86,46.2,0.66,41.7
2730,"Enes Ünal","TUR","FW","Getafe","La Liga",25,187,78,37,2798,0.51,29.3,0.17,15.8,13.5,21.2,0.03,0.26,0.1,2.22,0.13,0,24.4,1.64,35.3,2.6,43.2
2794,"Asier Villalibre","ESP","FW","Athletic Club","La Liga",25,190,89,19,548,0.33,31.6,0.11,11.3,12.6,20.5,0,0.16,0,1.48,0.16,0,16.4,1.31,50,2.3,59.5
2842,"Iñaki Williams","ESP","FW","Athletic Club","La Liga",28,186,79,38,2777,0.26,36.2,0.07,14,14.4,22.2,0.16,0.71,0.16,2.2,0.16,0,14,2.1,43.1,1.52,45.1
