"Rk","Player","Nation","Pos","Squad","Comp","Age","Height","Weight","MP","Min","Goals","SoT%","G/Sh","ShoDist","PasTotCmp","PasTotAtt","Assists","PPA","CrsPA","SCA","GCA","GcaDrib","Press","DriAtt","DriSucc%","Fld","AerWon%"
37,"Ludovic Ajorque","REU","FW","Strasbourg","Ligue 1",28,197,92,36,2738,0.39,40.7,0.15,13.1,22,29.9,0.26,0.89,0.16,2.47,0.3,0,17.1,1.02,48.4,1.22,56.2
68,"Jim Allevinah","GAB","FW","Clermont Foot","Ligue 1",27,172,70,30,1488,0.06,35.7,0.02,18.7,25.1,33.3,0.12,0.73,0.18,2.73,0.18,0,12.7,3.94,47.7,2.36,41.5
168,"Stéphane Bahoken","CMR","FW","Angers","Ligue 1",30,185,88,29,1099,0.25,58.3,0.13,16.5,13.8,18,0.08,0.33,0.25,1.15,0.08,0,18,1.15,64.3,1.31,31.9
235,"Mohamed Bayo","GUI","FW","Clermont Foot","Ligue 1",24,188,76,32,2413,0.52,41.9,0.19,12.5,14.9,20.3,0.19,0.52,0,2.2,0.41,0.04,14.6,2.05,60,0.22,39.7
266,"Wissam Ben Yedder","FRA","FW","Monaco","Ligue 1",32,170,68,37,2529,0.89,53.8,0.26,14,17.5,24.1,0.18,1.03,0,2.38,0.46,0.07,16.8,2.17,41,0.85,26.4
293,"Mitchell van Bergen","NED","FWMF","Reims","Ligue 1",23,170,62,20,983,0,41.7,0,17.7,13.7,21.1,0,1.19,0.55,2.48,0,0,21.9,2.2,54.2,0.46,13.6
313,"El Bilal Touré","MLI","FW","Reims","Ligue 1",21,185,72,21,1194,0.15,33.3,0.03,13.4,18.5,25,0.3,0.38,0.08,1.58,0.38,0,17.4,1.58,52.4,1.28,45.6
326,"Myron Boadu","NED","FW","Monaco","Ligue 1",21,183,67,31,960,0.37,38.1,0.19,9.8,12.5,15.5,0.09,0.19,0,2.15,0.28,0.09,19.8,1.78,68.4,1.12,32.2
348,"Denis Bouanga","GAB","FWMF","Saint-Étienne","Ligue 1",28,180,70,34,2436,0.33,37.6,0.11,19.1,20.4,29.6,0.22,0.77,0.3,3.14,0.37,0.04,24.2,5.46,46.6,1.88,44.9
351,"Sofiane Boufal","MAR","FWMF","Angers","Ligue 1",29,175,67,29,2330,0.31,38.7,0.08,22.2,29.9,39.5,0.15,1.39,0.15,4.79,0.58,0.04,17.1,7.1,51.6,3.17,20.3
356,"Benjamin Bourigeaud","FRA","FWMF","Rennes","Ligue 1",28,178,68,38,3193,0.31,38.9,0.2,17.6,38.8,53.2,0.34,2.48,0.93,4.79,0.54,0,16.9,0.85,43.3,0.31,30.3
392,"Osman Bukari","GHA","FWMF","Nantes","Ligue 1",24,170,68,24,1012,0.18,45,0.1,17.7,21.3,28.5,0.36,0.63,0.36,3.13,0.63,0,17.4,4.11,47.8,0.45,41.7
468,"Irvin Cardona","FRA","FWMF","Brest","Ligue 1",25,185,77,32,1334,0.27,42.9,0.14,14.9,14.3,21.3,0.14,0.27,0.07,1.96,0.34,0.07,19.5,2.23,45.5,0.88,28.1
521,"Rayan Cherki","FRA","FWMF","Lyon","Ligue 1",19,176,71,16,440,0,21.4,0,21.5,40.2,52.7,0.2,1.22,0.2,3.67,0.2,0,13.1,5.71,32.1,1.84,16.7
549,"Marcus Coco","FRA","FWDF","Nantes","Ligue 1",26,184,78,24,930,0.1,18.2,0.09,16.1,22.5,32.1,0.1,0.87,0.49,1.46,0.19,0,25.9,2.43,44,2.91,49.2
585,"Kalifa Coulibaly","MLI","FW","Nantes","Ligue 1",31,197,87,21,850,0.53,40.7,0.19,8.9,12.7,21.5,0,0.74,0.11,2.23,0,0,9.79,0.43,50,0.85,63.1
618,"Lucas Da Cunha","FRA","FWMF","Clermont Foot","Ligue 1",21,174,66,15,836,0.22,31.6,0.11,18.6,30,35.9,0,1.08,0.54,2.8,0.11,0,24.5,4.09,68.4,0.86,36
640,"Jonathan David","CAN","FW","Lille","Ligue 1",22,177,77,38,2804,0.48,45.5,0.2,13.3,16.9,21.4,0,0.71,0.13,2.21,0.16,0.03,18.1,1.67,65.4,1.51,28.6
666,"Andy Delort","ALG","FW","Nice","Ligue 1",31,181,83,32,2448,0.59,37.8,0.13,16.3,15.4,25.2,0.07,1.03,0.33,2.46,0.37,0,12.4,1.47,37.5,1.8,43.3
669,"Moussa Dembélé","FRA","FW","Lyon","Ligue 1",26,183,79,30,2207,0.86,44,0.19,12,12.6,18.1,0.16,0.29,0.04,2.65,0.61,0.08,12.9,2,55.1,0.82,50.8
692,"Ángel Di María","ARG","FW","Paris S-G","Ligue 1",34,180,69,26,1645,0.27,43.1,0.1,19.2,48.9,64.4,0.38,2.62,0.55,5.19,0.71,0,14.6,3.33,60.7,0.87,50
701,"Habib Diallo","SEN","FW","Strasbourg","Ligue 1",27,186,79,31,1541,0.64,44,0.18,12,15.6,21.8,0.06,0.53,0.18,1.93,0.53,0.12,15.8,2.4,48.8,1.58,45.3
