"Rk","Player","Nation","Pos","Squad","Comp","Age","Height","Weight","MP","Min","Goals","SoT%","G/Sh","ShoDist","PasTotCmp","PasTotAtt","Assists","PPA","CrsPA","SCA","GCA","GcaDrib","Press","DriAtt","DriSucc%","Fld","AerWon%"
14,"Che Adams","SCO","FW","Southampton","Premier League",26,178,70,30,2039,0.31,49,0.14,12.9,14.8,21.3,0.13,0.57,0.04,2.25,0.18,0,14.6,1.45,42.4,2.07,33.5
55,"Marc Albrighton","ENG","FWDF","Leicester City","Premier League",33,175,74,17,1132,0.08,25,0.25,16.7,27.4,43.7,0.16,0.87,0.4,1.51,0.16,0,22.9,2.94,43.2,1.19,35.3
105,"Michail Antonio","JAM","FW","West Ham","Premier League",32,178,82,36,2971,0.3,32.5,0.12,14.3,14.1,21.5,0.24,0.97,0.39,3.09,0.52,0.03,13.9,2.85,47.9,1.91,35.8
120,"Adam Armstrong","ENG","FW","Southampton","Premier League",25,168,69,23,1413,0.13,29.8,0.04,17,14.2,20.1,0.13,0.83,0,1.85,0.19,0,15.2,2.42,50,0.57,26.9
151,"Jordan Ayew","GHA","FW","Crystal Palace","Premier League",31,182,81,31,2019,0.13,22.9,0.09,16.4,25.4,33.3,0.13,0.67,0.22,2.1,0.27,0,23,3.21,52.8,3.13,33.3
169,"Leon Bailey","JAM","FWMF","Aston Villa","Premier League",25,178,79,18,761,0.12,38.1,0.05,18.7,17.5,26.4,0.24,1.29,0.35,2.47,0.35,0.12,17.1,2.71,60.9,1.41,36
192,"Patrick Bamford","ENG","FW","Leeds United","Premier League",29,185,71,9,559,0.32,25,0.1,13.6,13.7,16.6,0.32,0.81,0.32,1.94,0.48,0.16,17.9,1.29,50,1.29,25
210,"Ashley Barnes","ENG","FW","Burnley","Premier League",33,186,84,23,808,0.11,33.3,0,16,14.4,22.1,0,0.56,0.22,2.33,0.11,0,17.4,0.89,50,1.56,35
279,"Saïd Benrahma","ALG","FWMF","West Ham","Premier League",27,172,67,32,2168,0.33,34.9,0.13,18.7,25.9,34.5,0.25,1.33,0.5,2.86,0.33,0,15.6,3.36,42,0.91,40.5
284,"Christian Benteke","BEL","FW","Crystal Palace","Premier League",32,190,83,25,1145,0.31,33.3,0.1,11.4,16.1,23.6,0.08,0.79,0.08,1.57,0.08,0,9.45,1.5,47.4,1.34,59.1
294,"Steven Bergwijn","NED","FWMF","Tottenham","Premier League",25,178,78,25,565,0.48,52.6,0.16,15.9,23.5,28.3,0.16,1.59,0,3.17,0.48,0.16,13.3,2.86,55.6,1.9,14.3
359,"Jarrod Bowen","ENG","FW","West Ham","Premier League",26,175,70,36,2983,0.36,41.3,0.15,15.4,17.7,26,0.3,0.82,0.15,2.87,0.63,0.09,16.9,1.99,40.9,1.54,33.9
379,"Armando Broja","ALB","FW","Southampton","Premier League",21,188,75,32,1975,0.27,39.6,0.13,12.1,11.4,18.4,0,0.09,0,1.69,0.14,0.05,17.2,2.92,48.4,1.46,34.9
391,"Emi Buendía","ARG","FWMF","Aston Villa","Premier League",26,172,65,35,1899,0.19,31.8,0.09,17,33,41.5,0.28,1.94,0.14,3.51,0.47,0.09,20.9,2.42,58.8,2.51,33.8
439,"Dominic Calvert-Lewin","ENG","FW","Everton","Premier League",25,187,71,17,1283,0.35,36.7,0.1,13.1,12.6,20.4,0.14,0.35,0,2.1,0.28,0,13.8,0.7,60,1.54,47.5
493,"Edinson Cavani","URU","FW","Manchester Utd","Premier League",35,185,77,15,766,0.24,33.3,0.11,11.4,21.2,26.5,0.12,0.12,0,1.29,0.24,0,12.4,0.59,80,0.71,25
572,"Maxwel Cornet","CIV","FWMF","Burnley","Premier League",26,179,69,26,1766,0.46,47.8,0.2,16.6,14.5,22.1,0.05,0.71,0.26,1.38,0.31,0.05,15.5,2.24,29.5,1.17,36.4
625,"Patson Daka","ZAM","FW","Leicester City","Premier League",24,183,71,23,1159,0.39,57.7,0.19,15.4,13.3,17.3,0.23,0.31,0.08,1.86,0.54,0,18.1,1.4,16.7,1.24,31
678,"Emmanuel Dennis","NGA","FWMF","Watford","Premier League",25,175,66,33,2581,0.35,44.3,0.16,14.9,15,22.1,0.21,0.73,0.17,3.17,0.42,0.03,19.6,5.71,44.5,1.64,36.9
705,"Raphael Dias Belloli","BRA","FWMF","Leeds United","Premier League",26,176,68,35,2915,0.34,24.7,0.08,20.2,25.2,39.5,0.09,1.48,0.28,3.67,0.28,0.06,17.7,4.6,39.6,1.6,40.3
711,"Luis Díaz","COL","FW","Liverpool","Premier League",25,180,73,13,958,0.38,36.8,0.11,16,37.2,42.3,0.28,2.08,0.28,4.62,0.38,0,15.4,4.53,66.7,1.98,26.3
771,"Kieran Dowell","ENG","FWMF","Norwich City","Premier League",25,185,70,19,912,0.1,25,0.13,22.1,23.3,33.9,0.1,1.49,0.59,2.28,0.1,0,26.7,0.89,44.4,0.4,31.7
801,"Odsonne Édouard","FRA","FW","Crystal Palace","Premier League",24,173,67,28,1564,0.34,44.7,0.13,12.7,18.1,25,0.17,0.75,0.06,2.24,0.17,0,19.5,3.22,41.1,0.63,41.8
894,"Roberto Firmino","BRA","FW","Liverpool","Premier League",31,181,76,20,990,0.45,36.7,0.17,15.1,35.7,45.5,0.36,1,0.09,3.36,0.55,0,22.6,2.91,53.1,0.82,30.2
900,"Phil Foden","ENG","FW","Manchester City","Premier League",22,171,69,28,2128,0.38,37.9,0.16,14.1,37.5,46.4,0.21,1.69,0.42,3.52,0.55,0,17.4,2.33,70.9,1.61,19.5
910,"Pablo Fornals","ESP","FWMF","West Ham","Premier League",26,178,67,36,2795,0.19,25.6,0.14,18.4,33.3,44.4,0.1,1.7,0.35,2.8,0.29,0,21.4,1.74,46.3,1.29,43.3
929,"Ryan Fraser","SCO","FWMF","Newcastle Utd","Premier League",28,163,70,27,1465,0.12,29.2,0.08,17.2,20.4,29.3,0.18,1.35,0.8,2.88,0.37,0,10.2,0.43,28.6,1.47,23.3
984,"Joe Gelhardt","ENG","FWMF","Leeds United","Premier League",20,175,76,20,746,0.24,40.9,0.09,15.8,12.7,18.8,0.24,1.33,0.12,2.65,0.72,0.24,24.6,3.49,48.3,3.37,20.5
1059,"Jack Grealish","ENG","FW","Manchester City","Premier League",27,180,68,26,1914,0.14,35.6,0.07,14.3,39,45.1,0.14,1.92,0.14,5.16,0.33,0,12.6,2.77,57.6,3.05,34.8
1062,"Mason Greenwood","ENG","FWMF","Manchester Utd","Premier League",21,181,70,18,1271,0.35,37.5,0.1,18.7,28.2,35.7,0.07,0.92,0.21,3.12,0.5,0,10.9,3.55,58,1.56,40
1139,"Jack Harrison","ENG","FWMF","Leeds United","Premier League",26,175,70,35,2639,0.27,38.6,0.18,16.9,22.7,34.8,0.03,1.5,0.38,2.7,0.1,0.03,20.5,3.55,47.1,0.92,26.1
1145,"Kai Havertz","GER","FWMF","Chelsea","Premier League",23,188,83,29,1809,0.4,41.1,0.14,12.2,27.2,33.3,0.15,0.9,0.05,2.64,0.35,0.05,17.5,2.14,48.8,1.54,39.6
1181,"Son Heung-min","KOR","FWMF","Tottenham","Premier League",30,183,76,35,3006,0.69,54.7,0.27,15.4,27.9,36.6,0.21,1.35,0.12,3.86,0.45,0,11.5,2.57,59.3,1.38,23.8
1209,"Callum Hudson-Odoi","ENG","FWMF","Chelsea","Premier League",22,178,79,15,962,0.09,41.2,0.06,13.2,29.3,36.7,0.19,1.87,0.47,4.77,0.56,0,14.8,2.8,63.3,2.06,29.4
1221,"Adam Idah","IRL","FWMF","Norwich City","Premier League",21,190,83,17,625,0.14,28.6,0.07,12.4,13.9,20.6,0.14,0.58,0.29,1.74,0.14,0,13.5,2.32,75,1.74,30.8
1229,"Kelechi Iheanacho","NGA","FW","Leicester City","Premier League",26,185,82,26,1264,0.29,35.5,0.13,17.1,19.4,25.1,0.36,1,0.14,2.57,0.57,0,17.4,2.29,46.9,0.86,24.6
1239,"Danny Ings","ENG","FW","Aston Villa","Premier League",30,178,73,30,1898,0.33,35.4,0.13,13.3,12.2,18,0.28,0.66,0.14,1.47,0.38,0,18.2,1.66,31.4,0.66,30.7
1281,"Gabriel Jesus","BRA","FW","Manchester City","Premier League",25,175,73,28,1877,0.38,33.3,0.11,13.2,30.5,36.3,0.38,1.48,0.29,3.73,0.86,0.1,14.1,2.92,65.6,1.48,33.9
1284,"Raúl Jiménez","MEX","FW","Wolves","Premier League",31,188,81,34,2631,0.21,26.3,0.09,16.1,19.1,26.7,0.14,0.62,0.14,2.29,0.51,0.1,15.2,3.18,40.9,1.99,44.3
1303,"Diogo Jota","POR","FW","Liverpool","Premier League",26,178,73,35,2364,0.57,36.3,0.16,11.8,21.6,29.3,0.15,1.18,0.08,3.31,0.53,0.15,22.4,2.78,43.8,1.71,27.8
1343,"Harry Kane","ENG","FW","Tottenham","Premier League",29,188,89,37,3232,0.47,38.9,0.1,16.9,18.4,26.5,0.25,1.14,0.22,3.26,0.58,0.03,10.5,2.84,60.8,1.95,47.3
