"Rk","Player","Nation","Pos","Squad","Comp","Age","Height","Weight","MP","Min","Goals","SoT%","G/Sh","ShoDist","PasTotCmp","PasTotAtt","Assists","PPA","CrsPA","SCA","GCA","GcaDrib","Press","DriAtt","DriSucc%","Fld","AerWon%"
8,"Tammy Abraham","ENG","FW","Roma","Serie A",25,196,87,37,3084,0.5,34.4,0.15,12.2,14.6,20.2,0.12,0.82,0.12,2.33,0.35,0.03,13.6,2.22,48.7,1.46,45.3
21,"Felix Afena-Gyan","GHA","FWMF","Roma","Serie A",19,175,75,17,668,0.27,38.9,0.11,15,16.9,22.2,0,0.81,0.27,3.24,0.41,0.14,30,3.11,39.1,3.51,33.3
91,"Felipe Anderson","BRA","FW","Lazio","Serie A",29,175,70,38,2888,0.19,36.4,0.14,15.8,34.5,44.4,0.25,1.99,0.37,3.18,0.53,0.12,24.4,3.49,50.9,1.25,38.3
102,"Janis Antiste","FRA","FW","Spezia","Serie A",20,182,77,18,796,0.11,18.2,0.09,10.2,15.8,24.1,0,0.8,0.34,1.25,0,0,22.7,2.16,42.1,0.68,47.5
122,"Marko Arnautović","AUT","FW","Bologna","Serie A",33,192,83,33,2694,0.47,35.2,0.13,14.4,22.8,31,0.03,0.74,0.07,2.74,0.2,0.03,15.4,1.81,59.3,0.9,48
183,"Keita Baldé","SEN","FWMF","Cagliari","Serie A",27,181,80,26,1229,0.22,34.6,0.12,12.2,14.5,19.6,0.07,0.29,0,1.61,0.15,0,15.7,0.8,45.5,2.41,28.6
197,"Antonín Barák","CZE","FWMF","Hellas Verona","Serie A",28,190,86,29,2340,0.42,41.7,0.15,14.8,34.2,42.7,0.15,0.92,0.04,2.38,0.38,0.04,15.8,1.73,53.3,0.88,39.8
216,"Musa Barrow","GAM","FWMF","Bologna","Serie A",24,183,70,34,2134,0.25,38.9,0.08,20.3,30.1,39.6,0.25,1.86,0.51,3.63,0.42,0,13.6,2.45,55.2,1.14,33.3
262,"Andrea Belotti","ITA","FW","Torino","Serie A",29,181,72,22,1371,0.53,29.1,0.09,14.8,16.7,23.6,0.07,0.33,0,2.5,0.2,0.07,12.8,1.51,56.5,4.08,41.9
287,"Domenico Berardi","ITA","FW","Sassuolo","Serie A",28,183,72,33,2819,0.48,38.8,0.09,21.3,32.5,45.2,0.45,1.82,0.22,4.7,0.77,0.1,17.5,2.4,44,2.65,50
332,"Jeremie Boga","CIV","FWMF","Sassuolo","Serie A",25,174,72,12,670,0,33.3,0,19.2,29.9,36.6,0.27,0.54,0.14,3.11,0.54,0.14,8.78,6.35,51.1,1.62,16.7
340,"Federico Bonazzoli","ITA","FWMF","Salernitana","Serie A",25,182,79,32,1866,0.48,35.7,0.14,17,20,26.8,0,0.58,0.05,1.69,0.05,0,14.8,1.93,50,3.57,30.4
437,"José Callejón","ESP","FW","Fiorentina","Serie A",35,178,73,30,1298,0.07,35.3,0.06,14.6,33.8,43,0.14,1.53,0.49,3.06,0.28,0,11.7,0.83,66.7,1.32,40.7
461,"Gianluca Caprari","ITA","FWMF","Hellas Verona","Serie A",29,176,72,35,2739,0.39,40,0.15,18.1,31.7,41.8,0.23,2.17,0.23,4.41,0.63,0.03,14.4,3.82,51.7,2.66,17.2
613,"Patrick Cutrone","ITA","FW","Empoli","Serie A",24,183,79,28,1401,0.19,29.4,0.06,15.2,11,16.2,0,0.45,0.06,1.54,0.19,0,14.2,1.67,38.5,1.22,20.4
656,"Grégoire Defrel","MTQ","FW","Sassuolo","Serie A",31,179,77,38,1362,0.13,37,0.07,13.1,22.6,26.4,0.13,0.86,0,3.18,0.13,0,19,1.99,46.7,1.39,28.8
685,"Mattia Destro","ITA","FW","Genoa","Serie A",31,182,80,27,1744,0.46,38.2,0.16,13.1,10.8,17.9,0.05,0.26,0.05,1.24,0.21,0.05,13.8,1.49,34.5,1.75,34.8
686,"Gerard Deulofeu","ESP","FWMF","Udinese","Serie A",28,191,93,34,2616,0.45,43.4,0.16,17.4,26.5,38,0.17,2.75,0.27,4.71,0.38,0,16.9,3.85,43.8,1.17,6.1
690,"Federico Di Francesco","ITA","FWMF","Empoli","Serie A",28,171,75,26,1367,0.33,32,0.2,17,17,25.3,0,0.86,0.07,2.63,0.33,0,18.4,2.24,23.5,1.84,15.2
795,"Paulo Dybala","ARG","FWMF","Juventus","Serie A",29,177,75,29,2061,0.44,37.8,0.09,21.9,40,49.3,0.22,1.4,0.31,4.15,0.52,0,14.5,2.71,54.8,2.36,13.8
796,"Edin Džeko","BIH","FW","Inter","Serie A",36,193,80,36,2469,0.47,40.2,0.15,10.6,21.1,29.7,0.22,1.42,0.29,3.25,0.55,0,10.6,1.42,48.7,1.61,54.3
810,"Caleb Ekuban","GHA","FWMF","Genoa","Serie A",28,182,80,30,1716,0.05,17.9,0.03,13.9,15.8,22.7,0.1,0.52,0.05,1.68,0.16,0.05,16.6,2.36,51.1,1.78,38.5
